Название,Шкаф,Секция,Полка,Что?
Шприцы,2,А,,
Системы,2,А,,
Пластыри cosmopor,2,А,,
Влажные салфетки,2,А,,
Детский крем,2,А,,
Присыпка,2,А,,
Ватные палочки,2,А,,
Зеленка,2,В,,
Йод ,2,В,,
Прокладки,2,В,,
Баночки для анализов,2,В,,
Моксонидин,3,А,,"сердце, гипертензия, нормализация
артериального давления"
Бисопролол,3,А,,"сердце, гипертония, сердечно-сосудистая
недостаточность"
Каптоприл,3,А,2,центр у стены 
Лозартан,3,А,,"сердце, артериальная гипертензия, профилактика
инсульта, диабета 2 типа и инфаркта"
Индапамид,3,А,4,"сердце, гипертония, артериальная гипертензия, 
хроническая сердечная недостаточность, 
эссенциальная гипертензия"
Амлодипин,3,А,,"сердце, антиангинальное, гипотензивное действие"
Метопролол,3,А,,правый верхний угол
Лизиноприл,3,А,2,"слева нижний угол, возле холитилина "
Эликвис,3,А,,"сердце, тромбы, антикоагулянт,  профилактика венозной
тромбоэмболии, тромбоз, профилактика тромбоза глубоких
вен и тромбоэмболии легочной артерии и ее ветвей, 
профилактика инсульта, профилактика тромбоэмболии"
Холитилин,3,А,,"цереброваскулярная недостаточность, психоорганический синдром, 
черепно-мозговая травма"
Бетагистин,3,А,2,"болезнь и синдром Меньера, головокружение, шум в ушах, 
лечение и профилактика вестибулярного головокружения, вертиго"
Нифекард,3,А,,
Валсартан,3,А,,
Мельдоний,3,А,,
Комбитропил,3,А,,
Фезам,3,А,2,
Кардионат ,3,А,,
Пирацетам,3,В,1,
Аторвастотин,3,А,2,слева у стенки 
Пенталгин ,3,А,,
Нурофен ,3,А,,
Нольпаза,4,А,3,
Диосмин,3,А,,
Ибупрофен,3,А,3,угол слева 
Прадакса,3,А,3,"слева у стены , возле ибупрофен "
Миг,3,А,,
Эрмиталь ,3,А,,дешевле креона 
Ангиорус,3,А,,"вены, уменьшает растяжимость вен и венозный застой, снижает
проницаемость капилляров и повышает их резистентность, 
улучшает микроциркуляцию и лимфоотток"
Ранекса,3,А,,"сердце, стенокардия"
Мирамистин,3,А,,антисептическое средство
Миристоил,3,А,,антисептическое средство
Фаринорм,3,А,,"спрей, пародонтоз, калькулезное воспаление слюнных желез, 
ларингит, болевой синдром воспалительных заболеваний полости
рта и ЛОР-органов, стоматит"
Кетанов,3,А,,
Аква Airmore,3,А,,
Ибуклин,3,А,,"устранения симптомов ОРВИ, жара и боли различного генеза. 
Его составляющие ибупрофен и парацетамол вместе действуют 
активнее, чем по отдельности"
Фарбентум,3,А,,"спрей, ларингит, болевой синдром воспалительных 
заболеваний полости рта и ЛОР-органов, стоматит, 
после лечения и удаления зубов"
Нимесулид ,3,А,,
Кеторол ампулы ,3,А,4,справа у стены 
Меновазин,3,А,,
Тромбо АСС,3,А,,
Ацекадол,3,А,,
Анальгин,3,А,,"контейнер в левом углу, на самой нижней полке"
Кардиомагнил,3,А,,
Парацетамол,3,А,,
Толперизон,3,А,,
Уголь,3,А,,
КардиАСК магний,3,А,,
Профлосин,3,А,,тамсулозин
Простомол УНО,3,А,,
фенибут,3,А,4,
Метронидазол,3,А,4,"за флуканазолом, перед простомолом "
Фокусин,3,А,,
Флуконазол,3,А,,
Цитрамон,3,А,,
Гексикон,3,А,,
Пиона н-ка,3,В,,
Корвалол,3,В,,
Пустырника н-ка,3,В,,
Боярышника н-ка,3,В,,
Димексид,3,В,,
Валериана н-ка,3,В,,
Реополиглюкин,3,В,,
Натрия хлорид,3,В,,
Ликомицина гидрохлорид,4,А,1,
Гентамицин,4,А,1,
Метрогил,4,А,1,
Реамберин,4,А,1,
Глюкоза,4,А,1,
Клексан,4,А,2,
Гептрал,4,А,2,
Эуфиллин,4,А,2,
ацерумен,5 витрина,А,3,"справа, верхний угол "
Флуимуцил,4,А,2,
Папаверина гидрохлорид,4,А,2,
Сульфокамфокаин,4,А,2,
Пентоксифилин,3,В,1,справа в самом углу 
Платифиллина гидротартрат,4,А,2,центр у стены 
Магния сульфат,4,А,2,
Никотиновая кислота,4,А,2,
Самеликс,4,А,2,"слева, аналог Гептрала"
Диоксидин,4,А,2,
Цианокобаламин,4,А,2,
Тиамин,4,А,2,
Пиридоксин,4,А,2,
Аскорбиновая кислота,4,А,2,справа у стены 
Алоэ экстракт жидкий,4,А,2,
Церебролизин ,4,А,3,слева 
супрастин ,3,А,2,
цитиколин ,4,А,3,
флостерон ,4,А,3,
дипромета,4,А,3,
цитофлавин ,3,В,1,
проинин,4,А,3,правый нижний угол 
мексидол,4,А,3,Зал
Циклоферон ,4,А,3,центр за церетоном 
холина альфосцерат,4,А,3,
церетон,4,А,3,"в центре, сначала "
аксамон,4,А,3,Слева у стены на церебролизине
метоклопрамид,4,А,3,
ондансетрон,4,А,3,
кавинтон форте,3 зал,В,1,слева у стены 
рибоксин,4,А,3,
дибазол,4,А,3,
нейрокс,4,А,3,аналог мексидола 
Милдронат ,4,В,1,
винпоцетин,3,В,1,лежит в краю справа 
викасол,4,А,3,в самом центре 
кофеин бензоат натрия,1,А,4,Справа в корзине 
кальция хлорид,4,А,3,слева у стенки 
церебрин,4,А,3,
кальция глюконат ампулы,3 холодильник,А,1,
пирацетам,4,А,3,
калия хлорид,4,А,3,
та ,1,А,2,
мельдоний,4,А,3,Справа в дальнем углу
кардионат ,4,А,2,класть сверху на Фезам 
алфлутоп,4,А,4,
тексаред,4,А,4,"в центре у стены, возле диацерин "
кеторолак ,4,А,4,
лорниксикам ,4,А,4,
диклофенак раствор ,4,А,4,
фер-ромфарм,4,А,4,центр начало 
румалон,4,А,4,
кетонал раствор ,4,А,4,
Но-шпа раствор,4,А,4,
спазган раствор ,4,А,4,За кеторолом
Баралгин м раствор ,4,А,4,
кетопрофен раствор ,4,А,4,
Дротаверин раствор,4,А,4,
Мовалис ,4,А,4,
артозан,4,А,4,
Дексалгин ,4,А,4,
кетогексал,4,А,4,
вольтарен раствор ,4,А,4,
тотема раствор ,4,А,4,"Слева, вначале рядом с магне в6"
магнелис в6 раствор ,4,А,4,"центр левее, вначале "
Актовегин раствор ,4,А,4,
Мелоксикам раствор ,4,А,4,
Фуросемид раствор,4,В,1,
энтамзилат,4,В,1,
натрия хлорид,4,В,1,
ультракаин ,4,В,1,
преднизол,4,В,1,справа нижний угол 
дексаметазон раствор ,4,В,1,в краю справа (конец)
новокаин ,4,В,1,
Хондроитин раствор ,4,В,2,в самом низу
хондролон,4,В,2,
Хондроитина сульфат ,4,В,2,
цефотаксим ,4,В,2,
вода для инъекций,4,В,2,
лидокаин ,4,В,2,"более токсичен, чем новокаин, зато мгновенно обезболивает "
левофлоксацин ,4,В,2,
арперфлю,пенал ,,,
валидол ,пенал ,,,
Амброксол ,пенал ,,,
бромгексин,пенал ,,,
тилорон,пенал ,,,бюджетный амиксин
нобазит ,пенал ,,,
ацц,пенал ,,,
бронхо веда,2 шкаф зал ,А,5,
ацетилсалициловая кислота,пенал ,,,
Цефтриаксон,пенал ,,,
Пульмикорт,пенал ,,,
пульмибуд,пенал ,,,
проктостезол ,пенал ,,,
Актовегин раствор ,пенал ,,,
тиолепта,пенал ,,,
мексидол ,пенал ,,,
пентафлуцин,пенал ,,,
бацидерм,пенал и 4 витрина ,А,4,"аналог банеоцина, слева у стекла"
клиндамакс,пенал ,,,
лафракс ,пенал ,,,
омепразол,пенал ,,,
калиндамакс,пенал ,,,
мочевина 25% крем,пенал ,,,
комбилипен ампулы,1 холодильник,,1,
битригам,1 холодильник,,1,
мильгамма,1 холодильник,,1,
кантибиотик,1 холодильник,,1,
имунофлан ампулы,1 холодильник,,1,
эссенциале Н,1 холодильник,,1,
имунофлан спрей ,1 холодильник,,1,
гинофлор Э,1 холодильник,,2,
йовидокс,1 холодильник,,2,
проваг,1 холодильник,,2,
виферон свечи,1 холодильник,,2,
корилин-нео,1 холодильник,,2,
лактожиналь,1 холодильник,,2,
генферон,1 холодильник,,2,
генферон лайт,1 холодильник,,2,
триожиналь,1 холодильник,,2,
кипферон свечи,1 холодильник,,2,
ацилакт свечи,1 холодильник,,2,справа верхний угол 
бифидумбактерин свечи,1 холодильник,,2,
Аципол ,1 холодильник,,3,
Виферон гель ,1 холодильник,,3,
Виферон мазь,1 холодильник,,3,
Деринат ,1 холодильник,,3,
бифидобактерии форте,1 холодильник,,3,
бифидобактерии порошок,1 холодильник,,3,
пиобактериофаг,1 холодильник,,3,
бактериофаг,1 холодильник,,3,
инфагель,1 холодильник,,3,
гепферон мазь,1 холодильник,,3,
гриппферон,1 холодильник,,4,
оксолин ,1 холодильник,,4,
биолонг лайф,1 холодильник,,5,
трилактан,1 холодильник,дверь,,
дуопрост,1 холодильник,дверь,,
пролактан,1 холодильник,дверь,,
ксалатан,1 холодильник,дверь,,
эксинта,1 холодильник,дверь,,
офтальмо-ферон,1 холодильник,дверь,,
офтан катахром,1 холодильник,дверь,,
семакс,1 холодильник,дверь,,
латанопрост оптик,1 холодильник,дверь,,
отофаг,1 холодильник,дверь,,
нистатин мазь ,1 холодильник,дверь,,
радевит,1 холодильник,дверь,,
уродерм,1 холодильник,дверь,,
фагодент ,1 холодильник,дверь,,
редецил,1 холодильник,дверь,,
тафлотан,1 холодильник,дверь,,
актрапид,1 холодильник,дверь,,
протафан,1 холодильник,дверь,,
тыквеол,1 холодильник,дверь,,
ретиноевая мазь ,1 холодильник ,дверь,,
экстракт пустырника таб.,2 холодильник,,1,
валерианы таб.,2 холодильник,,1,
таблетки от кашля,2 холодильник,,1,
антиполицай,2 холодильник,,2,
эринит таб. ,2 холодильник,,2,
зеленина капли,2 холодильник,,2,
нитросорбид,2 холодильник,,2,
эссенциале форте Н капс.,2 холодильник,,2,
мятные таблетки,2 холодильник,,2,
нитроглицерин капс.,2 холодильник,,3,
флорбиолакт,2 холодильник,,4,
Уролесан таб,2 холодильник,,4,
Уролесан капли,2 холодильник,,4,
Хлорофиллипт спрей,2 холодильник,,4,
Хлорофиллипт раствор,2 холодильник,,4,
Хлорофиллипт капли,2 холодильник,,4,
пертуссин сироп,2 холодильник,,5,
солодки сироп ,2 холодильник,,5,
перекись водорода ,2 холодильник,,6,
рыбий жир капс.,2 холодильник,дверь,,
рыбий жир жидк.,2 холодильник,дверь,,
облепиховое масло,2 холодильник,дверь,,
бефунгин,2 холодильник,дверь,,
алоэ сок,2 холодильник,дверь,,
подорожника сок,2 холодильник,дверь,,
холосас сироп,2 холодильник,дверь,,
уропрост свечи,3 холодильник,,1,начало слева .
лонгидаза свечи,3 холодильник,,1,
мидокалм рихтер,3 холодильник,,1,
толзитол,3 холодильник,,1,
толпирилид,3 холодильник,,1,
глюконат раствор ,3 холодильник,,1,
толпирилид раствор,3 холодильник,,1,
Витапрост свечи,3 холодильник,,1,
натрия тиосульфат раствор ,3 холодильник,,1,
гепарин натрия раствор ,3 холодильник,,1,
мукосат,3 холодильник,,1,
окситоцин раствор ,3 холодильник,,1,
унитол,3 холодильник,,1,
Кортексин раствор,3 холодильник,,1,
цефекон д,3 холодильник,,2,
глицелакс,3 холодильник,,2,
синтомицин,3 холодильник,,2,
нистатин,3 холодильник,,2,справа свечей диклофенак (у стенки) 
диклофенак свечи,3 холодильник,,2,
метровагин,3 холодильник,,2,сверху метронидазол 
бетиол,3 холодильник,,2,
анузол,3 холодильник,,2,
облепиховое масло свечи,3 холодильник,,2,
красавки экстракт,3 холодильник,,2,
новокаин свечи ,3 холодильник,,2,
ихтиол свечи ,3 холодильник,,2,
Метилурацил свечи,3 холодильник,,2,
нигепан свечи,3 холодильник,,2,за цефеконом 
олестезин,3 холодильник,,2,
депантол,3 холодильник,,2,
фарматекс,3 холодильник,,2,слева за цефеконом 
парацетамол свечи,3 холодильник,,2,
ауробин,3 холодильник,,3,
триакорт,3 холодильник,,3,
фторокорт,1 холодильник,,дверь ,предпоследняя полка на двери 
микозорал,3 холодильник,,3,
тербикс,3 холодильник,,3,
"крем для тела с хондроитином
и глюкозамином",3 холодильник,,3,
хондроитин гель,3 холодильник,,3,
диклофенак,3 холодильник,,3,
Метилурацил мазь,3 холодильник,,3,
гидрокортизон мазь,3 холодильник,,3,
локоид,3 холодильник,,3,
эритромицин,3 холодильник,,3,центр у стенки 
преднизолон для наружного,1 холодильник,,дверь,
гентамицин гель,3 холодильник,,3,
гепариновая мазь,3 холодильник,,3,
безорнил,3 холодильник,,3,
бом-бенге мазь,3 холодильник,,4,
гэвкамен,3 холодильник,,4,
теймурова паста,3 холодильник,,4,
синтомицин паста,3 холодильник,,4,
стрептоцид,3 холодильник,,4,
бензилбензоат,3 холодильник,дверь ,4,
цинковая мазь,3 холодильник,,4,
цинковая паста,3 холодильник,,4,
салициловая мазь,3 холодильник,,4,
салицило-цинковая паста ,3 холодильник,,4,
серная мазь,3 холодильник,,4,
скипидарная мазь,3 холодильник,,4,
люголь раствор с палочками,3 холодильник,,5,
анузопрокт,3 холодильник,,5,
кокарбоксилаза,3 холодильник,,5,
метиленовый раствор ,3 холодильник,,5,
левометил мазь,3 холодильник,,6,
левомеколь ,3 холодильник,,6,
ихтиол мазь,3 холодильник,,6,
линемент бальзамический,3 холодильник,,6,
Полиоксидоний ,3 холодильник,дверь,,
алпизарин ,3 холодильник,дверь,,самая верхняя полка 
лидаза,3 холодильник,дверь,,
церебролизат,3 холодильник,дверь,,
дентагуттал,3 холодильник,дверь,,
адреналин,3 холодильник,дверь,,
тетрациклин мазь,3 холодильник,дверь,,
гидрокортизон мазь,3 холодильник,дверь,,
эритромицин мазь,3 холодильник,дверь,,
тетрациклин мазь,4 зал,В,2,центр у стены
гидроперит,3 холодильник,дверь,,
бензилбензоат ,3 холодильник,4,,"справа у стенки, вначале "
желчь ,3 холодильник,дверь,,
химотрипсин,3 холодильник,дверь,,где бензибезоат стоит 
календула свечи,3 холодильник,дверь,,
ла мазь,3 холодильник,дверь,,
прополис мазь,3 холодильник,дверь,,
лис свечи,3 холодильник,дверь,,
эскулюс,3 холодильник,дверь,,
эвкаменолл,3 холодильник,дверь,,
беродуал Н аэрозоль,1 шкаф зал,А,1,
ипратенол,1 шкаф зал,А,1,
беродуал 20 мл,1 шкаф зал,А,1,
беротек Н аэрозоль,1 шкаф зал,А,1,
беклазон эко,1 шкаф зал,А,1,
эутирокс,1 шкаф зал,А,1,
L тироксин,1 шкаф зал,А,1,
сальбутамол аэрозоль ,1 шкаф зал,А,1,
беклометазон аэрозоль,1 шкаф зал,А,1,
дуоресп,1 шкаф зал,А,1,"за препаратами, ближе к центру "
Метформин 500,1 шкаф зал,А,2,
отрио ,1 шкаф зал,А,2,слева 
бетмига,1 шкаф зал,А,2,
ливазо,1 шкаф зал,А,2,
эзетимиб,1 шкаф зал,А,2,
форсига,1 шкаф зал,А,2,
липобон,1 шкаф зал,А,2,
випидия ,1 шкаф зал,А,2,
галвус,1 шкаф зал,А,2,
фенофибрат ,1 шкаф зал,А,2,"начало, слева около галвуса"
диабетон,1 шкаф зал,А,2,
глимекомб,1 шкаф зал,А,2,
олиджим ,1 шкаф зал,А,2,"в центре, возле глибомет"
глибомет ,1 шкаф зал,А,2,
эуфиллин,1 шкаф зал,А,2,
теопэк,1 шкаф зал,А,2,
тирозол,1 шкаф зал,А,2,
мерказолил,1 шкаф зал,А,2,"справа у нижнего угла, возле манинил"
манил,1 шкаф зал,А,2,
тиолепта,1 шкаф зал,А,2,
гликлазид,1 шкаф зал,А,2,справа 
глимепирид,1 шкаф зал,А,2,
глидиаб,1 шкаф зал,А,2,
глюкофаж,1 шкаф зал,А,2,
сиофор,1 шкаф зал,А,2,
Метформин,1 шкаф зал,А,2,
Мовалис,1 шкаф зал,А,3,
Мелоксикам,1 шкаф зал,А,3,
кетонал 100мг,1 шкаф зал,А,3,
эторикоксиб,1 шкаф зал,А,3,"слева, возле аркоксиа "
аторика,1 шкаф зал,А,3,
кетопрофен 100мг,1 шкаф зал,А,3,
подпгрель,1 шкаф зал,А,3,
колхикум ,1 шкаф зал,А,3,"центр начало, за подагрелем "
фулфлекс,1 шкаф зал,А,3,"центр, начало "
Ксефокам,1 шкаф зал и 1 склад  ,А,3 или 5 склад,лежит вначале полки 
лорния,1 шкаф зал,А,3,
метотрексат,1 шкаф зал,А,2,"справа, начало, где глимекомб "
нейродикловит,1 шкаф зал,А,3,"правее, около немулекс, нефопам "
метипред,1 шкаф зал,А,3,справа у стены 
немулекс,1 шкаф зал,А,3,
кетонал,1 шкаф зал,А,3,
Нимесил,1 шкаф зал,А,3,
Найз,1 шкаф зал,А,3,
Нимесулид,1 шкаф зал,А,3,
милурит,1 шкаф зал,А,3,это аллопуринол 
итолгин,1 шкаф зал,А,3,
Ибуклин,1 шкаф зал,А,3,в центре 
,1 шкаф зал,А,3,
кетонал Дуо 150мг,1 шкаф зал,А,3,
Аэртал,1 шкаф зал,А,3,
ацеклофенак,1 шкаф зал,А,3,"слева, аналог аэртала "
ортофен,1 шкаф зал,А,3,"около кетанова,  нимесулида"
индометацин 25мг,1 шкаф зал,А,3,"слева у стены, возле верхнего угла "
диклофенак 100мг ,1 шкаф зал,А,3,
ибупрофен 200мг таб.,1 шкаф зал,А,3,
Ибуклин экспресс,1 шкаф зал,А,3,
диацереин,1 шкаф зал,А,3,
диартрин,1 шкаф зал,А,3,центр ближе к стене 
нимулид,2 шкаф зал,А,3,справа почти у стены 
фосамакс,1 шкаф зал,А,3,
келтикан,1 шкаф зал,А,3,
целебрекс,1 шкаф зал,А,3,
найзилат,1 шкаф зал,А,3,
артоксан,1 шкаф зал,А,3,"в центре, около тексаред, у стены "
алендронат,1 шкаф зал,А,3,На кетанов 
альфакальцидол ,1 шкаф зал,А,3,Справа у стены в конце
Кетанов ,1 шкаф зал,А,3,
кеторол экспресс,1 шкаф зал,А,3,
полидекса,1 шкаф зал,А,4,"слева у стены, капли с антибиотиком "
баралгин ,1 шкаф зал,А,4,
брал ,1 шкаф зал,А,4,
изофра,1 шкаф зал,А,4,
суматриптан ,1 шкаф зал,А,4,"центр, нижний край, против мигреней "
амигренин,1 шкаф зал,А,4,
беластезин,1 шкаф зал,А,4,
аскофен-п,1 шкаф зал,А,4,цену писать с торца 
дротаверин,1 шкаф зал,А,4,
ревалгин,1 шкаф зал,А,4,
синусэфрин,1 шкаф зал,А,4,"слева у стены, спрей с антибиотиком "
темпалгин ,1 шкаф зал,А,4,
кофицил ,1 шкаф зал,А,4,
трамицент,1 шкаф зал,А,4,
нафтизин,1 шкаф зал,А,5,коробка внизу слева 
витаргол форте,1 шкаф зал,А,5,
вибронорм,1 шкаф зал,А,5,
виброцил,1 шкаф зал,А,5,
ринонорм,1 шкаф зал,А,5,
галазолин,1 шкаф зал,А,5,"слева в ряд, около Виброцил "
снуп,1 шкаф зал,А,5,
тизин,1 шкаф зал,А,5,
риностоп,1 шкаф зал,А,5,
ринорус,1 шкаф зал,А,5,
ксилен,1 шкаф зал,А,5,
протаргол,1 шкаф зал,А,5,"слева, за сиалором "
эльжина,1 шкаф зал,В,1,
Полижинакс ,1 шкаф зал,В,1,
ованелия,1 шкаф зал,В,1,
орниона,1 шкаф зал,В,1,
овитол Клио ,1 шкаф зал,В,1,
нео-пенотран,1 шкаф зал,В,1,угол слева 
прожестожель,1 шкаф зал,В,1,слева нижний угол 
Макмирор,1 шкаф зал,В,1,
метромикон ,1 шкаф зал,В,1,слева 
Клотримазол,4 шкаф зал,А,4,Справа у стекла за шампунями 
кандид-в6,1 шкаф зал,В,1,слева верхний угол 
гексикон ,1 шкаф зал,В,1,
флуомизин,1 шкаф зал,В,1,"центр, корзинка слева "
ноноксинол,1 шкаф зал,В,1,
клиндацин б,1 шкаф зал,В,1,
Хлоргексидин свечи,1 шкаф зал,В,1,"в контейнере, аналог гексикон "
Пимафуцин,1 шкаф зал,В,1,центр в корзинке 
примацин,1 шкаф зал,В,1,
Метрогил гель,1 шкаф зал,В,1,
залаин,1 шкаф зал,В,1,
Гепатромбин мазь,1 шкаф зал,В,1,
Гепатромбин свечи,1 шкаф зал,В,1,
венапрокт,1 шкаф зал,В,1,
проктолиф ,1 шкаф зал,В,1,
натальсид ,1 шкаф зал,В,1,центр 
Релиф свечи,1 шкаф зал,В,1,
ренопроктол,1 шкаф зал,В,1,
Релиф про крем,1 шкаф зал,В,1,
Релиф Адванс мазь,1 шкаф зал,В,1,
мазь Флеминга,1 шкаф зал,В,1,"справа, около релифа "
гутталакс экспресс,1 шкаф зал,В,1,
постеризан ,1 шкаф зал,В,1,
