Название,Шкаф,Секция,Полка,Что?
клиндамакс,4 витрина ,А,4,"слева, где судокрем "
сигницеф,5 зал ,В,3,верхний угол слева 
дышесол,1 витрина ,А,3,"слева, около риностоп "
джес,1 зал ,В,2,слева 
визокко,5 зал ,В,3,"аналог визина, справа внизу, возле анаурана "
спазган,1 зал ,А,4,слева 
нитрофунгин,4 зал ,А,4,"угол справа у стекла, где кандид "
тавегил,3 витрина ,А,2,слева у стекла
эритромицин таб.,2 зал ,В,2,справа в контейнере 
ломфлокс ,2 зал ,В,1,вроде в центре у стены 
лекролин,3 зал ,А,2,
до и после крем ,4 витрина ,А,5,
пародонтоцид,3 витрина ,В,1,
алесорб,4 зал ,А,4,рядом с энторосгелем 
зилекса,1 витрина ,А,6,"слева, рядом с миристоилом "
страйк плюс ,3 витрина ,А,4,"в центре, у стекла "
нефопам.,1 зал ,А,3,
тагиста,3 зал ,В,1,"аналог бетагечтина, справа "
Амброксол таб,2 зал ,А,3,
магний б6 ЭКО ,2 витрина ,А,самый верх ,
витамины красоты ,3 витрина ,А,самый верх,где Глюкозамин 
нефопам,4 склад ,А,1,
цинка сульфат диа,5 зал ,В,3,"центр, рядом с ципромедом "
климаксан,3 витрина ,А,1,слева у стекла 
рамни,3 витрина ,А,3,"справа у стекла, аналог Ренни "
йодинол спрей,1 витрина ,А,6,
ксизал,3 витрина ,А,2,у стекла 
сигида,5 зал ,В,3,
цересил ,3 зал ,В,1,правее от центра
трекрезан,1 витрина ,А,4,слева за контейнером 
Рисперидон,1 витрина,В,2,центр у стены 
меберин,4 зал ,А,3,перед омезом 
бронхипрет,1 витрина ,А,5,слева у стекла 
левофлоксацин капли,5 зал ,В,3,слева верхний край 
олопаталлерг,3 витрина ,А,2,в центре 
долоспа,3 витрина,А,4,Возле нурофена 
хилокомод,5 зал ,В,3,"центр, около демазол "
окомистин ,5 зал ,В,3,"центр, около ципромеда, ципролета, стиллавит"
ницерголин,1 витрина ,В,2,в центре 
бензоилбензоат мазь ,3 холодильник ,,4,справа край 
формидрон,4 витрина ,В,2,рядом с циндолом 
бифиформ,4 зал ,А,2,около мезима 
бримайза дуо,5 зал ,В,3,"около комбигана, справа у стены "
омникокас ,1 зал,В,3,аналог омника 
котримоксазол,2 зал,В,1,В корзике где левофлоксацин и глево 
преднизон,1 зал ,А,3,справа около верхнего угла 
серлифт,,,,где абуцел
тиоктовая кислота,1 зал ,А,2,
тетурам,1 витрина ,В,2,"справа, за толперизоном "
Капилар,4 витрина,А,3,Возле пустырник форте и омега 
зеркалин,4 витрина ,А,4,
долонит,3 витрина,А,5,"Аналог долобене, справа от долгита "
Фукорцин,3 холодильник ,,5,
Цинкорол,2 витрина,А,,Самый верх
сонапакс,,,,
антигриппин анви,1 витрина ,А,4,справа край 
лифтинг крем,5 зал ,А,3,в начале - центр 
Дифлюкан ,1 зал ,В,2,в коробке где флуконазол
бензоилбензоат эмульсия ,3 холодильник ,дверь ,,
флуоксетин,1 витрина,В,2,Справа в углу
витаон,4 витрина ,В,2,возле аммиака 
орнидазол,1 зал ,В,2,"центр, возле итраконазола "
селецин,2 витрина ,А,1,
фуцидин,4 витрина ,А,4,слева угол у стекла
мастопол,3 витрина ,А,1,
Псило бальзам,4 витрина,А,4,Слева в стопке разных мазей
кордипин,3 зал ,А,4,"слева, возле норваска "
нормоэнзим,4 зал ,А,2,на Фестал 
настойка сабельника,3 витрина ,А,1,справа у стекла
флебофа,4 витрина ,А,5,слева у стекла 
глюкоза в пакетах,4,А,1,справа 
Винпоцетин концентрат,4,А,3,Возле рибоксина/октолипена 
ревалгин раствор ,4 склад ,А,4,около анальгина и спазгана 
овипол Клио ,1 зал ,В,1,слева у стены 
плавикс,3 зал ,А,2,"нижний край справа, сверху дипиридамола "
микозон,4 витрина ,А,4,"центр у стекла, возле кандида "
назаваль,1 витрина ,А,3,"центр, около отривина "
экаменол назо,1 витрина ,А,3,"левее центра, около назаваль "
амброксол сироп ,2 зал ,А,2,"в центре, у стены, около Амбробене "
Клотримазол свечи ,1 зал ,В,1,"слева, верхний угол "
колофорт,4 зал ,А,3,"справа у стенки, ближе к верхнему углу "
уробинефрон,1 зал ,В,3,справа в контейнере (угол)
фортедетрим ,2 зал ,В,3,в центре 
инокаин,5 зал ,В,3,"центр, около Стиллавин или лидокаин "
артрокомплекс,4 витрина ,А,2,"справа, возле стенки "
декспантель,5 зал ,В,3,"центр ближе к верхней стене, аналог корнерегеля"
лорноксикам ампулы ,4 склад ,А,4,бюджетный аналог Ксефокам 
лорнолиоф,пенал,,5,бюджетный аналог Ксефокама
гекмет,4 зал ,В,1,бюджетный аналог метрогила
мицин,2 зал,В,1,"справа угол внизу, в корзинке "
эдомари,2 зал ,А,,
золотой ус ,4 витрина ,А,5,"справа у стекла , угол "
бадяга порошок ,4 зал ,В,3,"в центре, контейнер "
систейн ультра,5 зал ,В,3,"центр, около стилавита"
ликопид 1,1 витрина ,А,4,"справа нижний угол, около упсарина "
Азитромицин Эко,2 зал ,В,2,слева около Сумамеда 
леветирацетам,склад,,,где абуцел 
полифепам,4 зал ,А,4,верхний угол справа 
колдакт флю плюс капс.,2 зал ,А,3,"справа угол, где Ринза "
лозартан вертекс,3 зал ,А,3,справа у края 
тонзилосепт,1 витрина ,А,5,"аналог тонзилгона, слева у стенки"
карталин,4 зал ,В,2,"слева около акрилерма, у стены нижней "
Вишневского,3 холодильник ,,6,справа угол 
октолипен,4 склад ,А,3,"у стены в центре, бюджетный аналог берлитиона "
новобисмол,4 зал ,А,3,"правый угол, бюджетный аналог денола "
сафистон,3 витрина ,А,4,"центр, на стекло, выше страйка "
ИРС19,2 витрина ,А,1,"на стекло, центр, где Элевит "
успокоительный сбор ,5 зал ,А,4,нижний край слева 
ил таб,2 зал ,А,2,"слева нижний край, где бромгекомб это его бюджетный аналог "
Порталак ,4 зал,А,2,У стены возле фестала
синукомб,1 витрина,А,5,Аналог синупрет 
Цитралгин ,3 витрина,А,6,Возле спецмази 
праджистан,3 зал,В,2,"ближе к левому верхнему углу, бюджетный аналог упраджистана "
стрессанет,4 витрина ,А,3,справа около лецетина 
бебифрин,1 витрина ,А,3,"около левого верхнего угла,  "
плантаглюцид,4 витрина ,А,3,"справа ближе к центру, около барсучьего жира"
гепато,4 витрина ,А,3,"справа ближе к центру, за барсучьим жиром "
Назацил рино ,1 зал ,А,5,"Слева, аналог виброцила "
Наятокс,3 витрина,А,5,Слева у стекла
эргоферон ,1 витрина ,А,4,"левее центра, у стекла "
феницитол,3 витрина ,А,2,"справа у стекла, аналог фенистила "
инфлюцеин,1 витрина ,А,4,"справа, около арбидола "
фундизол,4 витрина ,А,5,справа у стены 
миоризон,3 холодильник ,,1,"центр, аналог ампул мидокалма "
суприма бронхо,1 витрина ,А,5,"возле нижнего левого угла, около тонзилгона "
демотен,5 зал ,В,3,"центр, рядом с демазолом"
диметинден,3 витрина ,А,2,дешевле фенистила 
индометацин ,4 витрина ,В,1,"слева, противовоспалительное бюджетное "
гомеовокс,1 витрина ,А,5,центр у стекла 
левосин,3 холодильник ,,6,"слева, между Левомеколь и левометилом "
конский каштан настойка,3 витрина ,В,1,справа 
квисил,3 витрина ,А,2,"центр, у стекла, над ксизалом "
фитоиммун,2 витрина ,А,2,"справа, возле стекла, где линкас и доктор мом "
дортимол антиглау,5 зал,В,3,"аналог дорзопт +, слева около тауфона "
лиотон,4 витрина ,В,2,"слева угол, около тромбогеля, у стены "
мукофальк,4 зал,А,4,"центр у стены, с апельсином упаковка "
регецин,4 витрина ,А,4,"слева около клиндагель, Банеоцин "
вигамокс,5 зал ,В,3,в центре за стилавитом
тексаред,1 зал ,А,3,"в центре у стены, стоит на пираксикаме"
ибупрофен гель,4 зал ,В,1,в центре 
гимекромон ,4 зал ,А,1,нижний угол справа 
зиннат,2 зал ,В,1,"центр, возле таваника "
сульфасалазин,2 зал ,В,2,"правый угол, в корзине "
фарингопромт,2 зал ,А,5,"слева, аналог фарингосепт "
форлакс детский,3 зал ,А,3,слева возле Дюфалак (вначале полки) перед dr. gazex
альфа нормикс,2 зал ,В,1,справа внизу около голубой корзинки 
фезам,3 зал ,В,1,"у нижней стенки в центре, возле омарона "
парадонтоцид,4 зал ,В,1,центр где дентамет 
парадонтоцид раствор ,3 витрина ,В,1,"слева, верхний угол, где левометецин "
циновит,4 витрина ,А,4,слева почти в вернём углу 
эхинацея настойка,2 витрина ,А,1,"центр, у стекла "
мультигамма,1 холодильник ,,1,"б1,6,12 и лидокаин вместе "
дигидроквертицин,2 витрина ,А,"самый верх, левый угол ",
атероклефит,4 витрина ,А,3,"в центре, у стекла, над кардио актив "
аллапинин,3 зал ,А,5,"справа, в начале, рядом рамиприл"
целевит,2 зал ,А,5,"в центре, где ундевит и тд"
аминалон,3 зал ,В,1,"справа, возле мексиприма "
антарейт,3 витрина ,А,3,"слева, у стекла, возле диара "
фринозол,3 витрина ,А,2,"центр, у стекла, возле азеластина "
сульпирид,1 витрина ,В,2,центр 
бринтелликс,,,,
оциллококцинум,1 витрина ,А,4,
преднизолон таб.,1 зал ,А,3,"справа, у стены по середине "
пропанорм ,3 зал ,А,5,"вначале, по середине, возле торасемида "
ампициллина тригидрат,2 зал ,В,1,верхний угол слева 
долоспа,3 витрина ,А,4,"возле мига, правее, рекомендуют при менструальных болях "
валацикловир,1 витрина ,В,1,"левее, вначале "
ахромин,5 витрина ,А,2,центр у стекла 
фрамицетин,1 зал ,А,4,"слева нижний угол, аналог изофры "
прадакса,3 склад,А,3,"левый угол , возле ибупрофен "
толзитол,3 холодильник ,,1,аналог мидокалма 
таймфактор,3 витрина ,А,1,в центре 
эплан,4 витрина ,А,4,"слева, возле судокрема "
коэнзим,,,,
Контрактубекс,4 витрина ,А,4,"справа, возле нафтифина и нюды"
преднизол ампулы,4 склад ,В,1,справа вначале у стены 
зодак,3 витрина ,А,2,"слева, над экталустом"
нистатин таб,1 зал ,В,2,справа нижний контейнер
беллалгин,1 зал ,А,4,"справа, в начале "
элькар,,,,
целекоксиб,1 зал,А,3,Посередине в ближе к стене 
депантол,3 холодильник ,,2,"слева, за цефеконом"
баларпан,5 зал ,В,3,"слева, у стены, возле виксипина и бетаксолол "
новиган,3 зал,А,4,слева у стенки 
диметинден,3 витрина ,А,2,центр у стекла 
зотт,2 зал ,А,5,"слева, аналог лизобакта "
бисакодил свечи,1 зал ,В,1,справа нижний угол 
эсциталопрам,1 витрина ,В,2,"правее центра , ближе к стене "
редерм,4 зал ,В,2,"слева, возле акридерма "
венлафаксин,склад,,,где абуцел
лактомама,5 витрина ,А,4,"справа у стекла, почти угол "
звездочка дуо,2 зал ,А,4,справа у стены 
альфадол,1 зал ,А,3,"справа, возле кетанов"
Клотримазол крем,4 зал ,В,1,слева почти угол 
нафтадерм,4 витрина ,А,4,"слева около нижнего угла, за пантенолом "
теймурова спрей,4 витрина ,А,5,"справа, возле нальманина "
гасит,3 витрина ,А,3,"центр у стекла, аналог Ренни "
Левомицетин раствор ,3 витрина,Б,1,Перед салициловым спиртом 
прозерин,4 склад ,А,2,"центр, у стены, над пентоксифилином "
висмута,4 зал ,А,3,"справа верхний угол, аналог денола "
кетоконазол,1 зал ,В,1,слева в корзине 
панклав,2 зал ,В,1,слева нижний угол 
нормобакт,2 витрина ,А,1,нижний угол справа
липобон,1 витрина ,А,2,"слева, около метформина, аналог отрио "
оку оку,3 витрина ,А,2,"центр, около персена"
визомитин,1 холодильник ,дверь ,2,справа секция 
беллатаминал,1 витрина ,В,2,слева за атараксом 
сенсинор,3 витрина ,А,2,справа над зиртеком 
ларипронт,1 витрина ,А,2,"слева нижний угол, где гексализ "
либексин,1 витрина ,А,5,у стекла в центре 
тобрис,5 зал ,В,3,где тобрадекс 
мастофит крем ,3 витрина ,А,1,"угол слева, у стекла "
Глимепирид ,1 зал,А,2,Справа в дальнем углу
анестезол,3 холодильник ,А,2,угол слева 
бринарга,5 зал ,В,3,"слева почти возле верх.угла, где азарга "
актитропил,,,,где абуцел
Эниксум,4,А,2,Слева у стены перед самеликс
Амоксиклав,2 зал ,В,1,слева 
Калимин ,,,,На полке возле компьютера 
фер ромфарм,4 склад ,А,4,"вначале в центре, сверху любого препа "
губка кровоостанавливающая,5 зал ,В,1,
хонда крем,3 витрина ,А,6,центр у стекла 
мебикар,1 витрина ,В,2,слева у стены 
мофлаксия,2 зал ,В,1,"у стены справа, в корзине "
мемантин,1 витрина ,В,2,"центр у стены, возле мебикара"
Барбарис комп,1 витрина ,А,5,У стекла ближе к левому краю возле синупрет 
афалаза,3 витрина ,А,1,справа у стены 
пектусин,2 холодильник ,Дверь ,,возле рыбьего жира 
гидрохлортиазид,3 зал ,А,5,"слева, низ возле гипотиазид "
флоксал,5 зал ,В,3,"слева, возле виксипина и офтагель"
фотил капли,1 холодильник ,дверь ,,
демефецил,1 зал ,А,5,"центр начало, аналог виброцила "
тералиджен,1 витрина ,В,2,слева за атараксом у стенки 
папаверин свечи,3 холодильник ,,2,
вибуркол,1 витрина ,В,1,справа у стены 
Амбробене стоптуссин таб.,1 витрина ,А,5,справа у стекла 
грамицидин реневал,1 витрина ,А,2,слева за аджисептом 
бишофит,3 витрина ,А,6,центр начало 
броксинак,5 зал ,В,3,"справа в конце, аналог наквана"
лимфомиозот,1 витрина ,В,1,справа вначале у стены 
простакор,1 холодильник ,дверь,,
соталол,3 зал ,А,3,"справа, аналог сотагексала"
артрокер,1 зал ,А,3,центр у стены 
алфупрост,1 зал ,В,3,центр возле профлосина 
дексаметазон таб.,1 зал ,А,2,вначале центр 
Вессел ДУЭ Ф амп.,4 склад ,А,2,левый верхний угол 
осельтамивир,1 витрина ,А,3,"около упсарин упса, угол справа "
комплекс с артишоком,4 витрина ,А,3,"левее центра, у стекла "
тенолиоф,4 склад ,А,4,слева нижний угол
клиндовит,4 витрина ,А,4,"центр, стекло "
соль для ванн,4 витрина ,В,2,центр 
иммард,3 зал,А,,где телпресы 
этамзилат,4 склад ,В,1,"слева, почти вначале"
лакри,4 витрина ,А,4,"слева, где судокрем "
пиколинат хрома,2 витрина ,А,1,где цинкрол 
кальцемин адванс,2 витрина ,А,1,слева где симбиотик 
линкомицин,2 зал ,В,2,справа в контейнере 
левопронт,2 зал ,А,2,справа около коделак нео 
витридинол,4 зал,А,3,"правый верхний угол, аналог денола"
папаверин таб,5 витрина ,В,1,в контейнере 
натрия пикосульфат,4 зал ,А,4,"слева, аналог слабилен "
энтеродез,4 зал ,А,4,"слева в контейнере, где энтерол"
триампур,3 зал ,А,5,"центр в начале, около допегита "
римантадин,1 витрина ,В,1,верхний угол слева 
экофуцин,1 зал ,В,1,"центр, контейнер"
Кеторол гель ,3 витрина,А,5,Слева у стекла над найз 
гистан,4 витрина,А,4,"слева почти у стены, возле декспантенол "
гистан,4 витрина ,В,1,слева верхний угол
исмиген,2 витрина ,А,1,"справа, типо имудона "
кальцид,4 витрина ,А,3,"справа, возле лецитина "
дорзотимол,5 зал ,В,3,"слева, возле дорзопт плюс "
дермазин,4 зал ,В,2,"справа, аналог оргосульфана, мазь на серебре против пролежней "
тримебутин,4 зал ,А,3,"справа, возле необутина "
тинидазол,1 зал ,В,2,"справа, возле трихопола"
клион д,1 зал ,В,1,слева 
секнидокс,1 зал ,В,2,"справа, где сотрет"
элевит,2 зал,А,1,справа верхний угол у стекла 
оланзапин,склад ,,,где абуцел
прогинова,1 зал ,В,2,слева 
пароксетин,1 витрина ,В,2,центр у стены 
реглисам,1 витрина ,В,1,"центр, где сиропы "
манорен,1 зал ,В,3,"справа, где уронекст "
сульпирид ,1 витрина ,В,2,центр стена 
эксхол,4 зал ,А,1,за урсосаном 
карбомазепин,подоконник ,,,
ренобрейн см,3 холодильник ,А,1,"центр, где Кортексин это его аналог "
зенон,1 зал ,А,2,слева перед диабетоном 
акримиколь,4 витрина ,А,4,"Аналог залаин , центр начало "
фексофаст,3 витрина ,А,2,"левее вначале, где экталуст "
гастрогутал,4 зал ,А,3,"справа, возле гевискон, домперидон "
трирегол,1 зал ,В,2,"слева, возле верхнего угла "
дузофарм,3 зал ,В,1,"слева у стены, за контейнером "
белластезин,1 зал ,А,4,"справа вначале, возле контейнера "
вазобрал,1 витрина ,В,1,нижний  край справа 
нормавен,4 витрина ,А,5,слева у стены 
анэспум,3 витрина ,А,3,"слева у стены возле Лактофильтрум, симетикон "
роксера плюс,1 зал,А,2,"слева за отрио, почти возле стены "
викасол,1 зал ,В,2,"левее возле дюфастона, кровоостанавливающее "
трилептал таб,склад ,,,где абуцел
гепавизим,4 витрина ,А,3,"левее центра, где комплексы для печени "
меларена,1 витрина ,В,2,"центр, мелатонин "
ацерумен,5 витрина ,А,3,"справа у стекла, в углу"
спиртовые салфетки,2 склад,А,4,справа за космопорами 
гербион первоцвета,1 витрина ,А,5,
гербион исландский мох,1 витрина ,А,5,
гербион подорожник,1 витрина ,А,5,
ниатира,1 холодильник ,,4,правый край вначале 
аденопросин,3 холодильник ,,1,"слева угол, вначале "
нашатырно-анисовые капли,2 зал ,А,2,"слева, где аскорил"
анастрозол,склад,,,"где абуцел, центр "
кокарнит,4 склад,А,3,"центр, за Дипроспан и Циклоферон "
эплеренон,3 зал ,А,3,справа у стены в начале 
йодосепт,1 холодильник ,,2,"центр, вначале "
аморолфин,4 витрина ,А,4,"справа, ближе к центру, около педикулена "
артро комплекс,4 витрина ,А,2,справа у стены 
дутастерид,1 зал,В,3,где профлосин 
Преднизолон ампулы,4 склад ,В,1,"справа, вначале почти у стены "
диксин,4 склад ,А,2,"центр, начало, аналог диоксидина"
брлмфенак,5 зал,В,3,"правее центра, у стены почти, рядом накван "
индофтальмик,5 зал ,В,3,верхний угол справа 
версатис,3 склад,А,3,правый верхний угол за Меновазин 
фуцикорт,4 витрина,А,4,"слева в начале, у стены "
макрогол,4 зал ,А,4,"слева, около смекты "
бронхо-ваксон,1 витрина ,В,1,аналог бронхомунала 
энцетрон,3 склад,А,4, справа возле роноцита
медрол,1 зал,А,3," справа, около преднизолона"
бромфенак,5 зал,В,3,"левее центра, около виксипина "
азибакта,1 холодильник ,А,5,центр
синефистил,3 зал,А,,
золента,4 склад ,,,где Дипроспан
респеро миртол,1 витрина,А,5,справа у стекла 
леспефрир,склад у компа ,,,
аморолфин,4 витрина,А,4,центр 
тизанил,1 витрина ,В,2,центр 
ляписный карандаш ,3 холодильник ,дверь,,
проноран,склад,комп,,
анвифен,1 витрина ,В,2,спара
экспортал,4 зал,А,4,слева угол 
вартокс,4 витрина,А,5,справа возле 5д
норколут,1 зал,В,2,"слева, у стены "
манорен,1 зал ,В,3,где блемарен 
адиарин,3 витрина ,А,3,"слева у стены вначале, где Эспумизан "
бонисан,3 витрина,А,1,